publishing_body,tool_name,published,url
Mining Remediation Authority,Experian Commercial Delphi Score,2025-08-06T08:27:08Z,https://www.gov.uk/algorithmic-transparency-records/mining-remediation-authority-experian-commercial-delphi-score
Office for Students,Teaching Funding Allocations,2025-02-27T08:00:48Z,https://www.gov.uk/algorithmic-transparency-records/office-for-students-teaching-funding-allocations
The Gambling Commission,Illegal Gambling website identification tool,2025-12-16T12:04:08Z,https://www.gov.uk/algorithmic-transparency-records/the-gambling-commission-illegal-gambling-website-identification-tool
NICE,NORMA (NICE-ONS Recommendation Matching Algorithm),2024-12-17T08:03:04Z,https://www.gov.uk/algorithmic-transparency-records/nice-norma-nice-ons-recommendation-matching-algorithm
HMT,Correspondence Triage Automation Tool,2024-12-17T08:00:47Z,https://www.gov.uk/algorithmic-transparency-records/hmt-correspondence-triage-automation-tool
Leeds City Council,Money Information Centre Chatbot,2025-06-26T07:40:06Z,https://www.gov.uk/algorithmic-transparency-records/leeds-city-council-money-information-centre-chatbot
Salix Finance,Fraud Risk Assessment Reviewer,2025-10-03T07:56:29Z,https://www.gov.uk/algorithmic-transparency-records/salix-finance-fraud-risk-assessment-reviewer
Social Care Wales,Qualification Chatbot,2025-01-28T07:10:37Z,https://www.gov.uk/algorithmic-transparency-records/social-care-wales-qualification-chatbot
Bristol City Council,"Not In Education, Employment or Training Model",2025-01-28T07:12:20Z,https://www.gov.uk/algorithmic-transparency-records/bristol-city-council-not-in-education-employment-or-training-model
Camden Council,RentSense,2025-01-28T07:08:46Z,https://www.gov.uk/algorithmic-transparency-records/camden-council-rentsense
DBT,Find Exporters,2024-12-17T08:02:27Z,https://www.gov.uk/algorithmic-transparency-records/dbt-find-exporters
DBT,Redbox,2025-10-16T07:34:19Z,https://www.gov.uk/algorithmic-transparency-records/dbt-redbox
DfE,Apprenticeship Withdrawal Rate AI,2025-04-28T18:31:05Z,https://www.gov.uk/algorithmic-transparency-records/dfe-apprenticeship-withdrawal-rate-ai
Food Standards Agency,Food Hygiene Rating Scheme – AI,2024-02-29T17:37:03Z,https://www.gov.uk/algorithmic-transparency-records/food-standards-agency-food-hygiene-rating-scheme-ai
Greater Cambridge Partnership,Smart Pedestrian Crossing Trial,2024-04-15T13:28:53Z,https://www.gov.uk/algorithmic-transparency-records/greater-cambridge-partnership-smart-pedestrian-crossing-trial
Cafcass,Genesys ChatBot,2024-12-17T08:03:20Z,https://www.gov.uk/algorithmic-transparency-records/cafcass-genesys-chatbot
BDUK,Intervention Area Design Algorithms,2025-09-15T07:50:18Z,https://www.gov.uk/algorithmic-transparency-records/bduk-intervention-area-design-algorithms
West Midlands Police,exploratory analysis of sexual convictions,2024-02-29T17:36:53Z,https://www.gov.uk/algorithmic-transparency-records/west-midlands-police-exploratory-analysis-of-sexual-convictions
The Crown Prosecution Service,Correspondence Drafting Tool,2025-08-28T07:39:43Z,https://www.gov.uk/algorithmic-transparency-records/the-crown-prosecution-service-correspondence-drafting-tool
Student Loans Company,Advanced Learning Loans Assessment Rules,2025-09-25T07:44:26Z,https://www.gov.uk/algorithmic-transparency-records/slc-advanced-learning-loans-assessment-rules
NICE,Cochrane Randomised Controlled Trials (RCT) Classifier,2025-02-27T08:01:38Z,https://www.gov.uk/algorithmic-transparency-records/nice-cochrane-randomised-controlled-trials-rct-classifier
MOD,Textio,2024-12-17T08:01:30Z,https://www.gov.uk/algorithmic-transparency-records/mod-textio
HMT,HERMeS (HMT's Excerpt Retrieval Messaging System),2025-06-03T09:01:41Z,https://www.gov.uk/algorithmic-transparency-records/hmt-hermes-hmts-excerpt-retrieval-messaging-system
Greater London Authority,London Building Stock Model 2,2025-01-28T07:09:19Z,https://www.gov.uk/algorithmic-transparency-records/greater-london-authority-london-building-stock-model-2
DSIT,Succession Select,2024-12-17T08:00:38Z,https://www.gov.uk/algorithmic-transparency-records/dsit-succession-select
DfE,Student Loans Forecast Modelling Pipeline,2025-02-27T08:02:29Z,https://www.gov.uk/algorithmic-transparency-records/dfe-student-loans-forecast-modelling-pipeline
DEFRA,Local Authority Waste Collection Cost Groupings,2025-08-28T07:40:29Z,https://www.gov.uk/algorithmic-transparency-records/defra-local-authority-waste-collection-cost-groupings
Care Quality Commission,Relativity Active Learning,2026-03-30T09:18:27Z,https://www.gov.uk/algorithmic-transparency-records/care-quality-commission-relativity-active-learning
DfE,Correspondence Drafter,2025-12-16T12:10:55Z,https://www.gov.uk/algorithmic-transparency-records/dfe-correspondence-drafter
Ealing Council,Adult Social Care Annual Financial Expenditure Forecast,2025-01-28T07:09:07Z,https://www.gov.uk/algorithmic-transparency-records/ealing-council-adult-social-care-annual-financial-expenditure-forecast
Wilton Park,Data Cleaning Tool,2025-02-10T07:51:08Z,https://www.gov.uk/algorithmic-transparency-records/wilton-park-data-cleaning-tool
Department for Health and Social Care and NHS Digital,QCovid algorithm,2024-02-21T13:50:12Z,https://www.gov.uk/algorithmic-transparency-records/department-for-health-and-social-care-and-nhs-digital-qcovid-algorithm
GOV.UK Data Labs (Cabinet Office),Related Links,2024-02-29T17:37:10Z,https://www.gov.uk/algorithmic-transparency-records/gov-dot-uk-data-labs-cabinet-office-related-links
UK Heath Security Agency,TB Country of Birth support tool,2025-09-25T07:42:30Z,https://www.gov.uk/algorithmic-transparency-records/uk-heath-security-agency-tb-country-of-birth-support-tool
Standards and Testing Agency,Reception Baseline Assessment Routing,2025-10-30T08:03:48Z,https://www.gov.uk/algorithmic-transparency-records/standards-and-testing-agency-reception-baseline-assessment-routing
DBT,Business Intelligence (BI) Subject Tagger,2025-04-28T18:31:09Z,https://www.gov.uk/algorithmic-transparency-records/dbt-business-intelligence-bi-subject-tagger
MHCLG,Safer Greener Buildings Building Image Recognition Tool,2025-04-28T18:31:08Z,https://www.gov.uk/algorithmic-transparency-records/mhclg-safer-greener-buildings-building-image-recognition-tool
Student Loans Company,Postgraduate Assessment Rules,2025-02-27T08:01:09Z,https://www.gov.uk/algorithmic-transparency-records/student-loans-company-postgraduate-assessment-rules
